C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
CD3D,0.000157097,0.33788687,PTMS,0.181678594,0.7704925,HBA1,6.60E-06,1.0509529,ITM2B,4.01E-05,0.3996991,NUPR1,0.122366614,1.1225513,GUK1,0.000641974,0.59677476,ADGRE5,9.47E-07,1.1368062,CIB1,7.28E-15,1.5777125,UBE2S,5.09E-14,3.5076568
ACTG1,0.000190275,0.36442047,ACTB,0.18408715,-0.018327272,SH2D1A,1.12E-05,0.96582735,DDIT4,4.26E-05,0.48937523,HTRA1,0.145133617,2.3886194,GLUL,0.00066474,0.89075506,C1orf162,1.01E-06,1.8419428,ARPC5L,1.37E-14,1.6328751,MAD2L1,5.29E-14,4.088365
PCBP1,0.000195806,0.60279727,CAPZB,0.184328178,0.09099054,FOSB,1.57E-05,0.7479239,IRF1,4.98E-05,0.8043439,GADD45B,0.157350158,0.5157989,STK17B,0.000697525,0.6953218,HLA-E,1.16E-06,0.5827701,LSM14A,3.16E-14,1.7454658,RNASEH2C,7.04E-14,2.0861998
KLF6,0.000229914,0.4331335,R3HDM2,0.18867248,1.0297451,APOD,1.67E-05,2.5272515,LEF1,5.46E-05,1.9832984,HSPA1A,0.171026536,1.0793842,ABI3,0.000804155,1.0559874,ARPC5,1.23E-06,0.92737883,VMP1,3.57E-14,1.6908716,ASPM,8.26E-14,6.5266504
EIF3L,0.000230553,0.50013906,ZBTB7A,0.193672815,0.9627141,JUN,1.94E-05,0.63013756,DNAJB1,5.50E-05,0.85909826,CCDC80,0.173861163,1.4038129,ARF6,0.000818491,0.6197232,GNG2,1.71E-06,1.3862634,LNPEP,3.96E-14,2.0800085,SMC1A,8.43E-14,2.608068
SLC25A6,0.000247447,0.31293637,LYST,0.197185707,0.6297952,TERF2IP,2.30E-05,0.70804816,EML4,6.36E-05,0.8823324,POSTN,0.181875194,3.0639153,C9orf78,0.000921844,0.7962709,LYAR,1.91E-06,1.0925436,COX7C,4.73E-14,1.2653058,TPGS2,9.18E-14,2.5900397
LRRFIP1,0.000271398,0.52677006,EVL,0.197834764,0.003550281,CYBA,2.88E-05,0.45485207,UQCRB,7.02E-05,0.4363827,GSTP1,0.192131531,0.2206586,KLF6,0.000998307,0.58570296,PRR13,2.24E-06,0.91281873,PSMA2,4.98E-14,1.6012479,C12orf75,9.70E-14,2.1734977
PA2G4,0.0002908,0.602769,CD3G,0.198852786,0.14671065,PPDPF,3.70E-05,0.39254633,NAP1L1,7.12E-05,0.55854243,COL6A3,0.192916372,1.6248838,SLA2,0.001096702,1.3427198,KLRG1,3.66E-06,1.2851846,CTSC,5.78E-14,1.5208116,SFPQ,1.14E-13,2.1417155
HNRNPC,0.000302978,0.42356294,ANKRD11,0.204859556,0.46067238,TMEM59,3.89E-05,0.5905108,PTPRC,7.30E-05,0.37877735,PCOLCE,0.209077399,1.6823306,SRSF7,0.001189115,0.55808383,ARL4C,4.54E-06,1.1033956,RHOG,6.30E-14,1.6243848,LBR,1.17E-13,2.2831132
FOXP3,0.000305557,4.4243507,APOBEC3D,0.210039155,1.210672,MAPK1,4.00E-05,1.234336,DYNLT1,7.78E-05,0.7616879,COL8A1,0.216858527,2.7023664,CD3G,0.001214724,0.61968994,C1orf21,4.61E-06,2.940923,ARPC4,6.83E-14,1.5499617,UBE2T,1.54E-13,4.6580596
PRDX2,0.000355124,0.54842675,PNISR,0.21474176,0.14407505,MYL12B,4.51E-05,0.46308723,PBXIP1,8.21E-05,1.0499039,CXCL14,0.219480531,2.0316415,MSH3,0.001239509,2.3175964,DSTN,5.91E-06,1.0324588,RAC2,6.90E-14,1.5008351,GTF3C6,1.85E-13,2.341209
CD2,0.000386128,0.2727787,SLFN12L,0.220310718,0.8310103,ZFP36L2,4.62E-05,0.51562315,NR3C1,8.33E-05,1.0098995,FSTL1,0.22609037,1.7472596,GNPTAB,0.001258091,1.4942153,PSAP,7.96E-06,0.9635396,UQCRQ,7.45E-14,1.5212178,NASP,1.96E-13,2.7018733
RTKN2,0.000397228,3.091229,ZEB2,0.221577885,0.6348276,PARP8,5.25E-05,0.886845,CD55,9.25E-05,1.2889601,LMNA,0.226803716,0.79573417,GRAP2,0.001354474,1.0746756,DOK2,8.05E-06,1.2010691,PTMA,7.63E-14,0.7437296,CACYBP,1.98E-13,2.3798482
LPAR6,0.000496582,1.374043,LRRN3,0.226692239,2.308033,ARHGDIB,6.59E-05,0.36740237,FKBP5,9.83E-05,0.7226651,RARRES1,0.240598091,1.5911477,ITM2B,0.001536066,0.44795302,AKR1C3,8.34E-06,5.158519,PSME2,1.04E-13,1.5486895,CBX3,2.14E-13,2.198443
EPSTI1,0.000526405,1.0433812,TNIP3,0.227704208,0.8781762,IRF1,6.79E-05,0.7547981,CLK1,9.90E-05,0.8941726,TIMP3,0.2447749,1.7284693,CLEC2B,0.001555294,0.6692449,TBX21,9.99E-06,2.3335078,UQCR10,1.09E-13,1.5354351,ANXA5,2.15E-13,2.155299
VMP1,0.000540884,0.71567136,PSME1,0.228719392,-0.005566258,EVI2B,7.49E-05,0.7166474,STAT3,0.000127356,0.82549715,DDAH2,0.250636629,0.86319363,CTSD,0.001650791,0.696195,PTPN12,1.09E-05,3.1655223,DUSP1,1.10E-13,1.5004944,LMNB1,2.51E-13,3.378408
PFDN5,0.000578737,0.24198076,PILRB,0.242183436,0.680859,CRTAM,7.77E-05,1.7359575,HERPUD1,0.000138926,0.6501097,PDK4,0.253444633,1.6271276,COX4I1,0.001878209,0.45024186,PRSS23,1.16E-05,3.7174063,CHURC1,1.16E-13,1.6186287,VDAC3,2.64E-13,2.2663932
SEC11C,0.000587011,0.7698335,SRGAP3,0.243435775,1.2391024,FCRL6,9.18E-05,1.6979955,CD6,0.000183071,0.85337394,ASPN,0.255778641,3.3012373,CD9,0.002235458,1.304171,PPP1CA,1.35E-05,0.78342205,DENND2D,1.45E-13,1.6743878,ARPC5,2.72E-13,2.0262012
RAP1A,0.000634769,0.54015577,UBL5,0.244238831,-0.041172728,GABARAPL1,9.55E-05,1.2737299,CD44,0.000238998,0.53802407,IGFBP2,0.257160838,1.722945,ARL6IP5,0.002238635,0.5570787,ARPC5L,1.50E-05,0.9789561,NSA2,1.48E-13,1.7890675,PPP1CA,2.74E-13,2.056885
RGS10,0.000704014,0.5377739,BCAS4,0.244967991,1.0314643,AOAH,9.69E-05,1.4267457,FOXP1,0.000276438,0.937865,THBS2,0.259626495,2.811817,RHOH,0.002281213,0.7000603,SAMD3,1.59E-05,1.4023447,UBA52,1.49E-13,0.8132965,HSPD1,2.87E-13,2.4093904
BATF,0.000759649,0.88964546,KRT86,0.245050634,1.9089305,FOS,0.000122438,0.5711815,RNF125,0.000280825,1.1050389,GPR183,0.261180745,0.5409262,SARAF,0.002298523,0.46722126,FTL,1.73E-05,0.50075847,RNASE1,2.43E-13,2.7048545,CLSPN,3.01E-13,6.307708
UGP2,0.000945289,0.5563077,ITGAL,0.248184706,0.618571,TMSB4X,0.000124694,0.1763219,KLRB1,0.000378902,0.7249379,SAT1,0.279341948,0.09276119,PLP2,0.002430137,0.5843406,LAIR2,1.78E-05,3.049874,UBE2L3,2.47E-13,1.6296184,HNRNPR,3.02E-13,2.181706
CCR7,0.001168056,1.0198783,ARPC5L,0.250954313,0.28209293,RUNX3,0.000142562,0.7589171,KLF3,0.000441406,1.757205,COL11A1,0.283356148,3.3346324,TSEN54,0.002918354,1.0557334,FLNA,1.91E-05,1.1053741,MRFAP1,2.98E-13,1.6947254,SNRPD1,3.54E-13,2.2470388
ISCU,0.001320532,0.44866547,FUS,0.253830119,0.084680036,MT1E,0.000155353,1.0725796,KLF6,0.000690231,0.50891703,HSP90AA1,0.286547198,0.016468031,CD96,0.002972603,0.7035486,ZFP36,1.94E-05,0.78039604,POMP,3.01E-13,1.5379875,PFN1,3.54E-13,1.2904167
MBNL1,0.001326407,0.5142141,HLA-A,0.253957207,-0.101426505,PDCD4,0.000168284,0.67128694,SRSF7,0.000755953,0.47371402,GPM6B,0.294283032,0.9610352,ZNF331,0.003006656,1.1776372,SH3BP5,2.07E-05,1.8684971,GBP2,5.05E-13,1.8620095,ZDHHC12,3.88E-13,2.4867034
IL2RG,0.001598662,0.30411077,TOX,0.254098469,0.7580654,HLA-DMA,0.000170406,1.188053,PPP1R2,0.000878242,0.65841824,MCL1,0.295932695,0.21035568,TNFSF14,0.003014529,1.5497043,EIF5A,2.12E-05,1.0026084,M6PR,6.98E-13,1.9613259,CBX5,3.95E-13,2.6638746
BCL11B,0.001908521,0.6438344,CD84,0.260519077,0.42483753,CCNDBP1,0.000189278,0.9229128,DDX3X,0.000895304,0.6848032,C1S,0.298030418,1.2249327,LGALS1,0.003105717,0.47634274,RHOC,2.22E-05,1.0126466,RAC1,7.40E-13,1.8366495,PRDX3,4.33E-13,2.436545
SLA,0.001930848,0.39121276,PPIL2,0.261274555,0.9755798,YPEL5,0.00020209,0.9128149,LTB,0.000917883,0.5293076,EPYC,0.302222947,3.5781577,ENO1,0.003183295,0.5872754,UBE2F,2.35E-05,2.1196284,ETS1,8.86E-13,1.4714164,SRSF10,4.35E-13,2.0082486
FBLN7,0.001951593,2.4991443,C16orf54,0.268758423,0.5919681,TNIP3,0.000203951,2.001968,CDC42SE2,0.000920297,0.6211628,TUBA1B,0.303563634,0.19672857,PDE4D,0.003310292,1.6415855,UCP2,2.53E-05,0.9785599,COX5A,1.03E-12,1.5386891,HNRNPD,4.71E-13,2.2401206
CCDC107,0.001969785,0.5634239,BCL11B,0.271248487,0.3667502,PTPN22,0.000216717,1.024024,IFNGR1,0.0009516,1.0489787,S100A13,0.312958716,0.8614802,TBC1D10C,0.003383224,0.59797657,CCL5,3.49E-05,0.89808434,COX8A,1.22E-12,1.5226833,CCT6A,5.27E-13,2.3646533
PRDM1,0.001971418,0.4592616,CDC26,0.279536859,0.6474597,GYPC,0.000219309,0.53621966,CMTM7,0.000979681,0.9569434,COL6A2,0.318425273,1.1406926,PAIP2,0.003430916,0.641416,C1orf56,3.79E-05,1.1974128,AURKAIP1,1.26E-12,1.536675,PPP4C,5.28E-13,2.123437
EIF3F,0.002046338,0.34768334,TNRC6B,0.287249729,0.26316708,TRAT1,0.000220081,0.8149919,ERN1,0.001072298,1.4236544,MMP2,0.32016328,1.4346635,LCK,0.00377173,0.5150468,ADRB2,4.61E-05,2.20494,BATF,1.30E-12,1.7806548,ITGB1BP1,5.43E-13,2.1649795
SOD1,0.002050569,0.3169273,CNN2,0.295175382,0.30118337,TYROBP,0.000236311,0.9595488,SDCBP,0.001128458,0.841326,TMEM98,0.323988177,1.5803454,MAP3K8,0.003777705,1.548515,DDIT4,4.92E-05,0.71538806,COX14,1.48E-12,1.5379635,DCTN3,5.47E-13,2.052107
SLAMF1,0.002078595,1.3880911,TTC19,0.308325997,0.33259177,CLEC2B,0.000238945,0.6246384,PTGER2,0.001168931,0.9079429,IER2,0.33104473,0.17324384,FKBP1A,0.003820921,0.5888903,DBI,4.99E-05,0.7523269,DEFB1,1.56E-12,4.44984,ANP32A,5.55E-13,2.160994
NOP10,0.002120801,0.45022127,JAML,0.309843067,0.4313424,CD3E,0.000315762,0.42925963,PARP8,0.001179362,0.8080427,C3,0.337158365,0.9293722,FOS,0.004184717,0.533553,HDDC2,6.21E-05,1.3941679,GMFG,1.58E-12,1.4852762,MCM3,5.55E-13,3.4213483
NDUFS5,0.002174719,0.3271991,ACAP1,0.310975997,0.03722127,NR4A2,0.000338706,0.78766346,RGCC,0.001181391,1.0413985,MEST,0.338352249,1.7677392,SOCS1,0.004515985,0.57375705,EMP3,6.38E-05,0.6726985,PSMB10,1.69E-12,1.8991003,MZT2A,7.56E-13,2.114126
EIF3K,0.002246875,0.29299265,GBP1,0.326487554,0.6087746,GUK1,0.000352618,0.41770342,PLK3,0.001186053,1.4379541,COMP,0.338938476,2.043506,JUNB,0.004719907,0.4390913,ICAM2,6.73E-05,1.633035,PSMB8,1.76E-12,1.4730062,PCNA,8.22E-13,3.5634933
CNBP,0.002400866,0.31963345,PTTG1,0.328054151,0.48138773,APMAP,0.000356113,0.937316,CYTH1,0.001336617,1.098214,RAMP2,0.340406893,2.3623538,GALNT2,0.005146913,2.1276286,EIF3G,7.05E-05,0.7655713,ISG20,1.82E-12,1.4444017,HLA-DMA,8.39E-13,2.3137007
PAG1,0.002415837,0.96255493,PPP1R14B,0.331979259,1.1271182,RNF125,0.000409027,0.9914559,ZBTB16,0.00136457,1.9758313,DUSP4,0.342245186,0.5081132,FAM177A1,0.005248806,0.7102384,GADD45B,7.32E-05,1.1082312,COX6C,1.94E-12,1.4774212,UQCC2,9.08E-13,2.2324936
TAGLN2,0.002426689,0.41901365,UBE2W,0.33411444,0.7058003,HLA-E,0.000410853,0.31660423,EIF3M,0.001544898,0.6895469,PALLD,0.345596212,2.5337412,BTG2,0.005657181,0.6113277,PIP4K2A,8.08E-05,1.1143864,SLFN5,2.11E-12,1.5274588,NDUFA2,1.16E-12,1.9639575
EEF2,0.002431388,0.23448475,CBWD5,0.336301086,0.9622472,LEPROTL1,0.000436514,0.51999134,SATB1,0.001625209,1.5556298,CTSK,0.348657425,1.7684642,STUB1,0.00585434,0.8036341,ZAP70,8.13E-05,1.1748427,SNRPE,2.24E-12,1.4554015,FEN1,1.19E-12,4.727152
CTLA4,0.002437213,2.0241306,HNRNPL,0.340925519,0.5608357,CITED2,0.000447735,0.85349596,ZNF331,0.001699502,1.1969981,SERPING1,0.35778618,1.099565,CBLB,0.006236356,0.92516124,SCP2,9.58E-05,0.9802551,PSAP,2.33E-12,1.4199427,CCDC167,1.37E-12,2.152602
TRAF3IP3,0.00247268,0.4505783,FAM133B,0.345677246,0.42977783,ETS1,0.000549927,0.54209495,CCR6,0.001842068,2.0882578,TNFRSF12A,0.35857593,1.4289918,ZFP36,0.006261944,0.4320818,PTPN4,0.000102607,1.2254965,IFI44L,2.36E-12,2.8718877,PHB2,1.38E-12,2.1268258
CTSC,0.002636998,0.49127582,SEL1L3,0.346206843,0.60634476,IFNGR1,0.000577961,0.9749659,TOB1,0.001866162,1.0529488,BHLHE41,0.374313252,2.6679795,RGS10,0.006579756,0.62948257,LPCAT1,0.000108812,2.6144066,SSU72,2.40E-12,1.6255599,SUPT16H,1.41E-12,2.4719465
PPP1R10,0.002702665,0.8087845,CHST12,0.352329933,0.23964214,XCL1,0.000697535,0.84847516,DDX24,0.002166003,0.53824663,MMP14,0.377455994,1.7800056,MYL12A,0.007959657,0.3856481,TXK,0.000110255,1.9264323,PRDM1,2.69E-12,1.4202068,RBBP7,1.42E-12,2.4283116
AQP3,0.002736677,1.2691293,SUMO2,0.358849798,-0.049084015,TGIF1,0.00070609,1.149292,AKAP13,0.002176966,0.5904241,PPIC,0.381195636,1.8840096,IFITM2,0.008677719,0.48463386,CD47,0.000119727,0.8454266,NDUFA1,3.10E-12,1.4557645,PDCD5,1.53E-12,2.0641296
HSPA8,0.002858388,0.26521444,PCSK7,0.372406279,0.21051961,MT1X,0.000731838,0.82415736,RSL24D1,0.002218156,0.58498424,MARCKSL1,0.385835244,0.686327,WFDC2,0.008967003,0.86560374,HLA-B,0.000128138,0.21152838,MTRNR2L8,3.71E-12,4.099849,SF3B5,1.54E-12,1.8319894
CALM3,0.002876668,0.40582103,GZMH,0.37615539,0.16410574,HLA-DQB1,0.000799854,0.94736767,SAMSN1,0.002240466,0.71272296,MMP9,0.387376657,2.8688354,TERF2IP,0.009388278,0.56622463,RNF126,0.000131267,1.545089,BLOC1S1,3.91E-12,1.4331805,PSME2,1.80E-12,2.0278013
LIMS1,0.002893604,0.9207709,SAMD3,0.403609746,0.40619373,GABARAPL2,0.000902484,0.6054043,ARID5B,0.002252081,0.7648002,CD63,0.393734327,0.032047603,DAD1,0.009630238,0.5107611,CFL1,0.000148236,0.5529389,TTC39C,4.73E-12,1.9063053,USP1,1.84E-12,2.5551898
MMP7,0.002964334,1.6134695,ATXN1,0.405331064,0.4931076,EML4,0.000930251,0.70099235,TCF7,0.002342871,1.0070143,SERPINE1,0.399907669,3.4548967,TMEM59,0.010182912,0.51379013,NR4A2,0.000162307,0.97168815,TPI1,7.68E-12,1.4440995,AP2S1,1.86E-12,2.0255754
FTH1,0.003260559,0.20624033,KLRC4,0.415964649,1.4576933,C12orf75,0.001016863,0.65301317,TRADD,0.002344619,0.94115645,CD3D,0.402160942,-0.19409524,CXCR3,0.010808276,0.713496,IL2RB,0.000165037,1.2511681,ACTB,8.59E-12,0.5816345,HNRNPA2B1,1.91E-12,1.8723953
PHPT1,0.003303046,0.6185429,MXD4,0.418780334,0.5447958,CD99,0.00117324,0.34829342,TNFRSF25,0.002799783,1.5071372,GNG11,0.408136584,1.1645335,EVI2A,0.010966143,0.66622996,NDUFA1,0.000196566,0.70441,MAF,8.94E-12,2.0380158,COX8A,1.93E-12,1.9305434
CLIC1,0.003442721,0.23816773,CLEC2B,0.419063494,0.1503477,LCP1,0.001182272,0.4855805,SKIL,0.002925872,1.1992346,S100A16,0.414536667,1.5017172,TGFB1,0.011237858,0.7599425,POMP,0.000244562,0.6989302,MRPL33,9.05E-12,1.4337589,ENO1,1.95E-12,1.9154896
SMAP1,0.003868061,0.9144247,POLR2J3,0.42081377,0.21520284,CIRBP,0.00129578,0.39789638,P2RY8,0.003082336,1.7322172,CYYR1,0.417505327,4.0719347,SIT1,0.011309385,0.65530837,SEC61G,0.000264214,0.7414868,ABRACL,9.14E-12,1.4035676,KPNA2,2.22E-12,3.6711767
THEM4,0.004043999,1.1088132,PIF1,0.425479108,1.464725,ARF6,0.00129784,0.4710112,HSPA5,0.003394227,0.68926007,TGFBI,0.417985745,1.3377066,CSDE1,0.011559809,0.59366006,CD55,0.000266325,1.3296635,OSTF1,9.41E-12,1.6113555,PSMA3,2.27E-12,2.1226737
ZC3HAV1,0.004070848,0.6124151,GABPB2,0.429193412,0.8846256,EGR1,0.001399254,1.0775533,SAT1,0.003750669,0.44214538,PDLIM3,0.419509213,2.494151,IDS,0.011647242,0.58718073,CEP78,0.000272699,2.3489816,POLR2L,9.89E-12,1.4003444,NDUFB11,2.30E-12,2.0306869
CDC26,0.00414955,1.1568687,ST8SIA1,0.432767258,1.139512,ELF1,0.001467884,0.54811025,DCN,0.00408088,0.7038117,PDLIM7,0.422875,1.4642662,DDIT4,0.012044765,0.4926784,RAC2,0.000284319,0.5969866,PYCARD,1.04E-11,1.5933683,CCT8,2.36E-12,2.0859156
NKTR,0.004203461,0.521337,WNK1,0.433932456,0.42988652,IL10RA,0.001506353,0.74872226,HBB,0.004533992,0.4937524,FAP,0.422942208,2.9611676,GABARAPL1,0.012158205,1.0309168,PDIA3,0.000302651,0.7340067,PIM1,1.05E-11,1.5227813,AURKB,2.42E-12,6.891649
GATA3,0.004501289,0.888498,SMG6,0.436538268,0.75177616,AKNA,0.00150655,0.644406,RNF19A,0.004942172,0.8103901,UCHL1,0.42577058,2.0026855,BLOC1S1,0.012193237,0.51612425,LAT2,0.000309488,2.6653323,LY96,1.12E-11,3.1895401,EBP,2.47E-12,2.6363568
PPM1G,0.004600972,0.69174635,R3HDM1,0.437729344,0.90673774,HNRNPDL,0.001737688,0.45578772,CITED2,0.005337108,0.75988346,ITM2C,0.427107775,0.39307374,SMDT1,0.012572793,0.5340689,CYCS,0.000312872,0.8657586,AP2S1,1.14E-11,1.4952542,ANAPC11,2.51E-12,1.9767017
SIT1,0.004776059,0.5408635,IPCEF1,0.444692549,0.36308965,CDC42SE2,0.001769996,0.55709505,RSL1D1,0.005477131,0.6572269,CLDN4,0.430318862,1.4275013,HSP90AA1,0.013087304,0.4420349,ETS1,0.000396464,0.7091244,ENO1,1.19E-11,1.4214151,TMEM160,2.54E-12,1.8441674
NBEAL1,0.004810502,0.44644865,GCC2,0.445511717,0.2628945,CCND3,0.00189726,0.5569087,LMNA,0.00574559,1.1139145,ANTXR1,0.437468015,2.813003,VAMP8,0.013736843,0.4527709,LSM14A,0.000405673,0.991721,PSMB3,1.26E-11,1.4193374,HNRNPAB,2.64E-12,2.6452336
AAK1,0.004880296,0.50424457,TOMM7,0.446514089,-0.168816,ITM2C,0.002364193,0.70960486,SERINC5,0.005795328,1.3281692,FKBP10,0.446680185,1.9261967,NUDT14,0.015666016,1.1164323,MAP3K8,0.000408298,1.7957939,PET100,1.46E-11,1.4479892,NDUFA12,2.67E-12,1.840163
GLRX,0.0048859,0.5793105,GFOD1,0.450678966,0.66050404,PLA2G2A,0.002505381,1.9846194,HBP1,0.005872493,1.2687837,LXN,0.45139713,1.5359527,PHPT1,0.016093436,0.66747713,PRELID1,0.000453092,0.68748987,IL7R,1.46E-11,1.3594775,SSRP1,2.85E-12,2.5827641
SUSD3,0.004959286,0.82470787,ALDOA,0.452698148,-0.066738114,HOPX,0.0026697,0.5719173,MGAT4A,0.005917318,1.0126811,ACKR1,0.452193003,2.5150592,PERP,0.017591591,1.0954798,MANF,0.00045893,1.053317,ACTG1,1.48E-11,1.1487418,LSM3,2.98E-12,2.0312288
TPM3,0.005883324,0.3189728,ZNF148,0.453382562,0.48657456,PIP4K2A,0.002701195,0.7106377,HNRNPDL,0.00632817,0.43047228,TUBB6,0.457462799,2.287337,DHRS7,0.018208231,0.606876,MIEN1,0.00046488,1.0493011,TOMM20,1.55E-11,1.4800031,CHCHD2,3.30E-12,1.6802441
TNRC6B,0.006188928,0.49725002,GNG5,0.459465529,0.15187438,GPR171,0.00277503,0.529701,AP3M2,0.007039304,1.8810247,CALU,0.462554646,0.9123843,DYNLT3,0.018286189,1.0651387,PRMT2,0.000490479,0.7866483,NDUFS6,1.92E-11,1.4639733,BANF1,3.33E-12,1.9154552
STK17B,0.006542724,0.40671763,CDK2AP2,0.467556671,0.2614567,SLC38A1,0.003255312,0.65424025,EIF4A2,0.007114224,0.37641287,CRIP2,0.462781053,1.0223618,SSB,0.018296683,0.62983656,ISG20,0.000504085,0.6364696,PCBP1,1.97E-11,1.3970581,GMNN,3.78E-12,4.0751204
NEDD9,0.006841467,1.0029035,CBWD3,0.473618895,1.30864,LAG3,0.003301133,0.78522354,PFKFB3,0.007430157,1.2579622,CD36,0.467009155,2.0474157,SLC2A3,0.019177782,0.6674075,JAK1,0.000554556,0.728993,CSK,2.34E-11,1.8120325,EIF4A3,4.09E-12,2.3977597
TESPA1,0.006928039,1.4494675,C1orf56,0.477512452,0.33087337,LYST,0.003904803,1.0483855,NDFIP1,0.007498299,0.69819695,CXCL12,0.467364833,1.7211707,TMEM50A,0.019492347,0.5111547,EIF4A1,0.000566432,0.8719301,LAMTOR5,2.55E-11,1.4077487,UBE2N,4.23E-12,2.034979
CORO1A,0.007192696,0.24963722,ARID3A,0.485744555,1.2044455,UQCRB,0.004023033,0.308343,YWHAB,0.007966599,0.37860247,EFEMP2,0.467791844,1.6179391,METTL9,0.020127418,0.62281656,PPP1R18,0.000596285,0.7871447,IFI16,3.12E-11,1.3800331,UQCRC1,4.35E-12,2.3562987
HOXB2,0.007265522,1.2291954,C2orf68,0.486349905,0.7038991,SYAP1,0.004131837,0.8734051,RGS1,0.008203755,0.44781524,COL16A1,0.472589116,2.2146797,RGL4,0.020257087,0.89809144,IDI1,0.000700123,1.0727217,PGK1,3.18E-11,1.392464,PSMB2,4.50E-12,2.1201732
HIGD2A,0.007307385,0.3066287,CD82,0.49365652,0.4631787,CBLB,0.004542374,0.8677235,SMDT1,0.008528249,0.4649081,FBN1,0.472990108,2.1962802,UBB,0.020724485,0.43555564,HNRNPF,0.000738161,0.66966033,GIMAP1,3.29E-11,1.5442083,PPP1CC,4.52E-12,1.9700879
SPINT2,0.008108432,0.9420881,EPSTI1,0.500266203,0.41385913,TSPYL2,0.004694083,0.89847445,GPCPD1,0.008888575,1.4853771,HDLBP,0.481092514,0.79739326,PIK3IP1,0.022326053,0.47110382,SH2D2A,0.00075166,0.8689709,C12orf75,3.46E-11,1.4684355,HLA-DRA,5.91E-12,2.096106
RCAN3,0.008998927,0.88081044,PPM1M,0.512543059,0.6681046,BUB3,0.005567682,0.5445522,CD5,0.009493096,1.114324,CCDC146,0.487724595,1.3073816,PAPOLA,0.022995063,0.6011897,NDUFB2,0.000761816,0.6040443,STK17A,4.03E-11,1.3678268,POLR2E,6.12E-12,2.0659578
PBXIP1,0.009249584,0.6364453,TNFRSF9,0.516593187,0.888845,ACTB,0.005674176,0.17642045,YPEL5,0.010886143,0.74006075,RAB13,0.489269908,1.0412486,ECI2,0.02353141,1.1779046,RAB5C,0.000770875,0.94598025,NPC2,4.44E-11,1.3995694,PSMB7,6.59E-12,1.9798242
ASH1L,0.009357945,0.5946512,ASCC2,0.517383244,0.4793472,ZNF331,0.006199896,1.0824853,EZR,0.011022428,0.58709776,RHOB,0.496021125,1.0471476,NKAP,0.023602669,1.243442,VASP,0.000813891,0.9576599,OST4,5.15E-11,1.2085888,PARP1,6.65E-12,2.0242124
PNISR,0.009750526,0.3408699,SENP5,0.518162939,0.70719105,VPS37B,0.006461754,1.0883547,AREG,0.011268022,0.97793496,DMKN,0.497389084,1.262919,RBM25,0.024288275,0.60579693,PHB,0.000825332,1.0078938,COX6B1,5.19E-11,1.3723999,ARL6IP1,7.25E-12,1.9334397
RHOC,0.010012621,0.47321722,JAKMIP1,0.518173925,0.7987538,PAIP2,0.006752435,0.4853701,CDKN1B,0.012014052,0.8818441,GJA1,0.497978071,2.062789,OSTF1,0.024469486,0.7064801,TCF25,0.000861309,0.7915693,TBCA,5.92E-11,1.3344964,PDIA6,7.46E-12,2.0299141
IL2RA,0.010015736,2.367474,ARHGAP18,0.519042197,0.5653187,GABPB1,0.006918121,0.6418507,ARHGAP15,0.012285502,0.6289776,PTGDS,0.503221552,0.9178741,TNFAIP3,0.024611069,0.5648182,SUB1,0.000887437,0.5861091,NHSL2,6.04E-11,2.647543,COX5A,7.59E-12,2.0749962
PNRC1,0.010125763,0.2849594,PURA,0.521629465,0.57691264,ITLN1,0.007417943,2.7882419,LDLRAP1,0.012781517,1.2679627,MT1M,0.50425891,1.5794336,CISH,0.025730245,0.9817744,MSN,0.000896543,0.69531745,LDHB,6.46E-11,1.3673552,GSTO1,8.58E-12,2.0108025
PCSK7,0.010151411,0.39794183,GABARAPL1,0.521949204,0.41695285,PFKFB3,0.008106565,1.2150146,CYTIP,0.012863182,0.35232314,SULF1,0.506530198,2.3314738,TMEM147,0.026227081,0.664009,SIRT2,0.001003369,1.5420516,CEBPB,7.10E-11,1.9349768,SKA2,9.41E-12,2.531953
UQCR10,0.010266403,0.31251425,BTN3A2,0.524422304,0.28154525,IGFBP6,0.008542972,1.3440197,SC5D,0.013485525,1.8132132,COL12A1,0.506708565,2.385392,DDX24,0.026422344,0.48044845,ARPC4,0.001050629,0.70948,NDUFB10,7.27E-11,1.3449188,CORO1A,1.04E-11,1.4606379
