C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
UBAP2,0.711887069,-0.28328553,PDS5B,0.474834408,-0.23760334,ARHGEF7,0.733976318,-0.4111509,LRRC57,0.723973799,-0.7284185,COQ4,0.351903998,-0.6257202,MAP1LC3B2,0.864728872,-23.621786,MFSD14B,0.865845914,-0.51903534,TEPP,0.886553646,0.36220476,SLC30A1,0.74202228,-0.7161178
TAB3,0.711841252,-1.2246035,GALK2,0.474226437,-0.41682577,GBA,0.73394771,-1.0435135,MYSM1,0.72389733,-0.4298098,INO80D,0.351759834,-1.4449033,FAM107A,0.864728872,-23.659216,SCMH1,0.86580762,-0.7092825,CD99L2,0.886773985,0.20720646,CREBRF,0.74202228,-0.5310472
ZNF160,0.711554918,-0.2651101,TBC1D4,0.47420548,-0.6571713,CKAP4,0.733847587,-2.5087097,SFXN5,0.723499735,-2.000615,SLC25A38,0.351723799,-0.6284105,GPR160,0.864728872,-23.451023,NUFIP1,0.865769325,-0.6799955,AZIN2,0.886818053,0.06933189,VWF,0.742053913,0.71664745
CCDC97,0.711509108,-0.06317736,SLTM,0.47387024,-0.052879732,MAML2,0.73376177,-0.30970293,ST20,0.723453864,-0.91922677,ATXN2,0.351711788,-0.7151482,ATG9B,0.864728872,-23.657488,YTHDF1,0.865635298,-0.6705784,NUDT7,0.886862122,0.25659665,MPP6,0.742496824,0.8408084
RAD51AP1,0.711497656,-0.73043615,TMEM263,0.47366078,-0.53412443,EPG5,0.733590147,-1.1085618,OSBPL5,0.723407993,-2.3037663,LTB4R,0.351699777,-2.2741742,SLC17A9,0.864728872,-23.426472,ZNF260,0.8653864,-0.43894222,NRBP2,0.886994332,0.0865269,LILRB1,0.742560104,0.67935634
LRP1,0.711474752,-1.3777897,YIPF3,0.473577011,-0.10950516,SGF29,0.733575845,-0.27665156,HERC2,0.723224521,-0.25431818,FBXO7,0.351687766,-0.250069,SLX4,0.864728872,-23.600512,GCNT1,0.865348109,-0.39824808,KLHL21,0.887126544,0.011682148,ZNF513,0.742686669,0.56001794
CASP8,0.711428944,-0.04679709,BEX5,0.473419965,-0.9529238,C1orf159,0.733532942,-2.7645519,RBBP8,0.723224521,-2.086806,MAVS,0.350356201,-1.4988576,CCL23,0.864728872,-23.822615,PAN2,0.865309819,-0.7667339,ZC3H10,0.887214687,0.04639906,ZNF556,0.742749955,4.1994996
GPAT4,0.711348783,-0.19779542,CDKN2C,0.473399028,-0.5964086,ATP13A2,0.73350434,-0.49636525,TTYH3,0.723025777,-2.3273616,MTMR6,0.349996868,-1.6761643,KRBA2,0.864728872,-23.620241,CPM,0.864926932,-0.9250537,NDUFA4L2,0.887567275,-0.18614908,IGF1,0.74287653,0.587378
GAK,0.71132588,-0.0848989,LMBRD1,0.473346687,-0.2225049,SRP54,0.733375636,-0.07247981,COL4A1,0.72301049,-2.4117513,GLO1,0.349625803,-0.20076421,PHYHD1,0.864728872,-23.39826,OTULIN,0.864926932,-0.39142025,ZNF780B,0.887787653,0.116338365,SLC39A11,0.74287653,0.0608639
ALKBH1,0.711245723,-0.8987485,TMEM218,0.473346687,-0.59567165,HBS1L,0.733361336,-0.22362186,LDLR,0.722842338,-1.010084,HMGN3,0.349577942,-0.09090274,ANKRD55,0.864728872,-23.660585,ARL17A,0.86458236,-0.57874715,SIAH1,0.88800804,-0.22877423,LATS1,0.743193,-0.22913074
