Fairfax_response_down_responder	Fairfax_response_up_Non_responder
AC012085.1	USP45
C12orf43	PLCE1
WASH9P	AC025164.1
DEDD2	SLC30A7
ZNF282	ZNF493
ZNF416	SMARCD3
HMOX2	HIST2H2BC
ATP5IF1	FAM126B
BSCL2	SESN3
NSMF	AC116158.1
DDR1	TYW5
PRR29	UBE2V1
EPHB6	TMEM161B
JOSD2	AP000254.2
CST7	FEM1C
PPP1R37	NPHP3
TICAM1	HSD17B12
SF3B5	CCDC50
PRR5L	AP005131.6
CISD3	RICTOR
JMJD4	DCUN1D1
HMG20B	RAPGEF6
FAM98C	RASGEF1B
XXYLT1	NA
DNAL4	CCNL1
CSNK1G2	PDE5A
BANP	GPR180
AL451165.2	C12orf60
IL27RA	AC010168.2
CENPX	AL137003.2
RPL13	MOSPD2
SLAMF7	AC126474.2
INTS5	FKBP14
NDUFA6	HSPBAP1
ADRM1	NA
NUDT16L1	ERO1B
AC010442.1	NEAT1
MRPS12	VMA21
GPR137	UCHL3
KIF22	GPR155
BYSL	SIAH1
SURF2	AP000977.1
ZNF688	SLC25A46
FEM1A	ALG6
SH3BP5	AL845472.2
SQSTM1	CD164
NDUFAF3	RORA
AIMP2	TMTC2
FAM83G	AL049840.4
ODC1-DT	AC080112.3
MIEF2	AC073857.1
CLPP	TMTC3
THAP4	LCOR
TTLL12	RORA-AS1
PRF1	IGIP
RAB15	RNFT1
SMKR1	NA
BAD	MSH5
SCARF2	ABHD13
PHRF1	ZNF736
PRXL2B	RO60
C9orf16	ESR1
GPX4	PSMD6-AS2
EFHD2	DTHD1
FAM89B	U62317.2
ADCK2	LNPK
MARK4	CEPT1
IFITM1	SOS1-IT1
PIP5K1C	TTC14
AC245100.7	SRP9
SSNA1	ZNF680
MYDGF	NHLRC3
NOP53	FKTN
ANXA6	G2E3
ARHGAP10	LRP2BP
ZNF526	RYR3
ZNF689	CEBPZOS
HEIH	STARD4
CENPB	SNED1
NUDT2	ZNRD1ASP
NDUFA2	OR7E7P
MRPL21	RNF141
MIEN1	AMY2B
DTD1	PDK1
MCM5	IGSF9B
IGSF8	MTFR1
BOLA3	BBIP1
HSD17B10	PAX6
ARL2	ATXN3
PKN1	ZNF519
DYNLL1	KANTR
MTMR8	NA
RUVBL2	POLR2M
SIGMAR1	FAR2
TMEM115	MRPL42
SSBP3	LINC02019
SWI5	PGGT1B
CD5	SLC49A4
LSS	MTRNR2L8
MPG	MDM4
LBH	AC133065.3
ATG101	TMEM168
IKBKG	CHROMR
CENPBD1P1	PLAGL1
NDUFB11	EPM2AIP1
SMAD3	LINC02035
CD99	SLC35A3
NDUFB10	ACSL6
ARID5A	AC067945.3
PET117	TRAV18
UBE2M	RAB11FIP2
COX5A	RABGGTB
MAPK7	FAM91A1
POLR2J	CMPK2
NTHL1	RAB8B
ROMO1	AC024075.1
SRM	AC090616.6
LRRC45	C5orf24
YBX1P1	AC107068.1
GRWD1	KIAA1958
SCRIB	TMEM154
POLR2L	ENTPD1
TMEM185B	AC245100.2
TIGD5	FAR1
CCDC61	NKTR
ARRDC2	LACC1
NUBP2	DDX60L
PPP2R1A	FOXN2
TP53TG1	AL356019.2
NKG7	SCAMP1
TMEM11	TRAM1
DPM3	LINC00641
ACD	SLC30A1
OST4	C5orf58
PRPF6	AL132989.1
DYNLRB1	MOB4
ADPRHL2	MED21
ITPRIPL1	ARHGAP5
MTLN	WASHC4
EIF4A1P10	ALCAM
AKR7A2	AL355075.2
WDR18	AC004492.1
CYBA	PKN2
PSMG3	CYSTM1
ZNF16	ZNF326
LHPP	NHLRC2
CD7	SPIN3
KLHL26	USP46
NAT14	REEP3
HABP4	BNIP3P11
RANBP1	PIP4P2
TIMM29	NNAT
LRRC61	SLC9A7
TNIP1	SGTB
NDRG1	PHTF2
IDH2	BACH1
TESK1	AL035071.1
