C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD4_CCR7_nam,C1_CD4_CCR7_pva,C1_CD4_CCR7_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_RORA_nam,C3_CD4_RORA_pva,C3_CD4_RORA_log,C4_CD8_GZMB_nam,C4_CD8_GZMB_pva,C4_CD8_GZMB_log,C6_CD4_CXCL13_nam,C6_CD4_CXCL13_pva,C6_CD4_CXCL13_log,C7_CD8_HAVCR2_nam,C7_CD8_HAVCR2_pva,C7_CD8_HAVCR2_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
CCDC112,0.84960017,-0.6721456,GLG1,0.146259964,-0.16734016,KMT2C,0.182198921,-0.19845662,SCRG1,0.854978392,-1.2141052,NSL1,0.529462053,-0.25020275,SIRPA,0.951922712,-21.968597,GPR157,0.852365685,-23.828058,NOL6,0.954835301,-0.69438905,LCAT,0.920216853,-0.052769948
ZNF512,0.849549199,-0.20433304,DAPK3,0.145927695,-0.56117976,ANKRD17,0.182105768,-0.42968303,NLRX1,0.854942981,-0.91747296,LRRC47,0.529422998,-0.5920012,CD1C,0.951922712,-22.19566,ZRANB3,0.852365685,-23.69317,LENG1,0.95471115,-0.28172964,RECQL5,0.920271448,-0.35983276
FBXO43,0.849379302,-1.1137148,TLK1,0.145891483,-0.14295305,SPG21,0.182101719,-0.1989099,POLG2,0.854895768,-0.25896078,KLHL18,0.529396962,-1.2933354,IL1RL2,0.951922712,-21.62532,CEP112,0.852365685,-23.636417,TMEM121,0.954636661,-0.8147205,NUB1,0.920517128,-0.7550978
ZNF417,0.849294355,-1.2927862,C12orf45,0.145873379,-0.57945836,FLYWCH2,0.18187911,-0.3881815,TARS2,0.854730523,-0.23606218,C6orf62,0.529331875,-0.104057215,ZNF764,0.951905181,-0.7160904,NUDT17,0.852365685,-23.715229,DUSP5,0.954587001,-0.32707793,SEC14L2,0.921691037,-1.1558189
NUDT9,0.849158445,-0.32139704,PGD,0.145740672,-0.86278766,PSMB10,0.181850793,-0.12282736,ZER1,0.854600693,-0.4935168,SDF2,0.52892843,-0.14751717,ASTN2,0.951870118,-0.4295176,KDM1B,0.852312456,-1.5649105,ERLIN2,0.954438023,-0.48646036,FAM184B,0.921691037,-0.5802346
TNC,0.849141457,-1.3918362,CCDC141,0.145650242,-1.9572754,CNPPD1,0.181757773,-0.34325635,LIMS2,0.85424663,-0.52224076,PKD1,0.528915418,-1.9056182,PPP1R16B,0.951817523,-0.24857834,HAUS8,0.852294713,-0.0996313,FAM207A,0.954438023,-0.39106923,SERPINI1,0.921745642,-0.6581192
FGD3,0.849115974,-0.12159269,TNFRSF8,0.14553576,-25.439688,RNF113A,0.181684999,-0.252514,ZNF589,0.854211226,-1.1078776,SPSB1,0.528694243,-1.3643711,SPPL2B,0.951799992,-0.57106733,ACER3,0.852223742,-0.84277856,DYNC2H1,0.954388365,-1.0890279,IFITM1,0.921882155,-0.6431627
UHRF1BP1,0.849056516,-1.6721125,ISCA1,0.145382221,-0.24706896,PCF11,0.181575879,-0.1716539,ZBTB8OS,0.853998804,-0.06523964,ANKH,0.528681234,-0.5667822,SLC4A10,0.951379244,-0.6545391,ZNF589,0.852152772,-1.0587628,TGFBR3L,0.954388365,-1.4128575,WDR37,0.922400926,-0.53548926
SLC25A15,0.848954589,-1.663856,APOE,0.145303994,-0.4870646,HERC2,0.18125688,-0.42907724,TRIM32,0.853998804,-0.29444763,MMP9,0.528642208,-3.0644464,DHTKD1,0.951256528,-0.41148362,AGAP6,0.852152772,-1.0485427,ALG12,0.954289047,-0.47378758,ASB13,0.922728588,0.9214645
HAUS5,0.848861158,-0.23605947,NBN,0.145270907,-0.36498657,MYLIP,0.180773122,-0.23932181,ANG,0.853857195,-0.71186185,UHRF1,0.528486121,-3.1920564,EFCAB11,0.951238998,-0.7898659,E2F2,0.852046319,-0.95310915,CALD1,0.954264218,-0.7871851,TNS1,0.922728588,0.79702324
